Movie Name,Director(s),Principal Cast(s),Cast(s)
Citizen Kane,Orson Welles,"Joseph Cotten, Orson Welles","Agnes Moorehead, Dorothy Comingore, Erskine Sanford, Everett Sloane, Fortunio Bonanova, George Coulouris, Georgia Backus, Gus Schilling, Harry Shannon, Paul Stewart, Philip Van Zandt, Ray Collins, Ruth Warrick, William Alland"
The Godfather,Francis Ford Coppola,"Al Pacino, Marlon Brando","Abe Vigoda, Al Lettieri, Diane Keaton, Gianni Russo, James Caan, John Cazale, John Marley, Richard Conte, Richard S. Castellano, Robert Duvall, Rudy Bond, Sterling Hayden, Talia Shire"
Rear Window,Alfred Hitchcock,"Frank Cady, Georgine Darcy, Grace Kelly, James Stewart, Judith Evelyn, Raymond Burr, Ross Bagdasarian, Sara Berner, Thelma Ritter, Wendell Corey","Havis Davenport, Irene Winston, Jerry Antes, Jesslyn Fax, Rand Harper"
Casablanca,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman","Claude Rains, Conrad Veidt, Curt Bois, Dooley Wilson, Enrique Acosta, John Qualen, Joy Page, Leonid Kinskey, Madeleine Lebeau, Paul Henreid, Peter Lorre, S.Z. Sakall, Sydney Greenstreet"
Boyhood,Richard Linklater,"Bonnie Cross, Elijah Smith, Ellar Coltrane, Ethan Hawke, Libby Villari, Lorelei Linklater, Marco Perella, Patricia Arquette, Steven Chester Prince","Alyssa Petersen, Andrea Chen, Andrew Villarreal, Angela Rawna, Bonnie Cross, Brad Hawkins, Cassidy Johnson, David Blackwell, Deanna Brochin, Derek Chase Hickey, Elijah Smith, Ethan Hawke, Evie Thompson, Greg Baglia, Jamie Howard, Jonathan Bell, Jordan Howard, Libby Villari, Lorelei Linklater, Marco Perella, Mark Finn, Megan Devine, Mona Lee Fultz, Natalie Wilemon, Nick Krause, Patricia Arquette, Ryan Power, Sam Dillon, Savannah Welch, Shane Graham, Sharee Fowler, Steven Chester Prince, Sydney Orta, Tamara Jolaine, Tess Allen, Zoe Graham"
Three Colors: Red,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant","Bernard Escalon, Brigitte Raul, Elzbieta Jasinska, Frédérique Feder, Jean Schlegel, Jean-Marie Daunas, Jean-Pierre Lorit, Leo Ramseyer, Marion Stalens, Paul Vermeulen, Roland Carey, Samuel Le Bihan, Teco Celio"
Vertigo,Alfred Hitchcock,"Barbara Bel Geddes, David Ahdar, Ellen Corby, Henry Jones, James Stewart, Kim Novak, Konstantin Shayne, Lee Patrick, Raymond Bailey, Tom Helmore","Danny Borzage, Isabel Analla, Jack Ano, John Benson, Margaret Bacon"
Notorious,Alfred Hitchcock,"Alexis Minotis, Cary Grant, Claude Rains, Ingrid Bergman, Ivan Triesault, Leopoldine Konstantin, Louis Calhern, Moroni Olsen, Reinhold Schünzel, Wally Brown","Bernice Barrett, Charles Mendl, E.A. Krumschmidt, Fay Baker, Ricardo Costa"
Singin' in the Rain,"Gene Kelly, Stanley Donen","Cyd Charisse, Dawn Addams, Debbie Reynolds, Donald O'Connor, Douglas Fowley, Gene Kelly, Jean Hagen, John Albright, Millard Mitchell, Rita Moreno","Bette Arlen, Betty Allen, Jimmy Bates, Marie Ardell, Sue Allen"
City Lights,Charles Chaplin,"Charles Chaplin, Virginia Cherrill","Al Ernest Garcia, Albert Austin, Betty Blair, Buster Brodie, Eddie Baker, Florence Lee, Hank Mann, Harry Ayers, Harry Myers, Henry Bergman, Jack Alexander, T.S. Alexander, Victor Alexander"
